"Name","TitleTID","Gradient"
"string","string","String"
"TitleMasteryShelly","TID_TITLE_MASTERY_SHELLY","PlayerTitleGold"
"TitleMasteryColt","TID_TITLE_MASTERY_COLT","PlayerTitleGold"
"TitleMasteryBull","TID_TITLE_MASTERY_BULL","PlayerTitleGold"
"TitleMasteryBrock","TID_TITLE_MASTERY_BROCK","PlayerTitleGold"
"TitleMasteryRico","TID_TITLE_MASTERY_RICO","PlayerTitleGold"
"TitleMasterySpike","TID_TITLE_MASTERY_SPIKE","PlayerTitleGold"
"TitleMasteryBarley","TID_TITLE_MASTERY_BARLEY","PlayerTitleGold"
"TitleMasteryJessie","TID_TITLE_MASTERY_JESSIE","PlayerTitleGold"
"TitleMasteryNita","TID_TITLE_MASTERY_NITA","PlayerTitleGold"
"TitleMasteryDynamike","TID_TITLE_MASTERY_DYNAMIKE","PlayerTitleGold"
"TitleMasteryPrimo","TID_TITLE_MASTERY_ELPRIMO","PlayerTitleGold"
"TitleMasteryMortis","TID_TITLE_MASTERY_MORTIS","PlayerTitleGold"
"TitleMasteryCrow","TID_TITLE_MASTERY_CROW","PlayerTitleGold"
"TitleMasteryPoco","TID_TITLE_MASTERY_POCO","PlayerTitleGold"
"TitleMasteryBo","TID_TITLE_MASTERY_BO","PlayerTitleGold"
"TitleMasteryPiper","TID_TITLE_MASTERY_PIPER","PlayerTitleGold"
"TitleMasteryPam","TID_TITLE_MASTERY_PAM","PlayerTitleGold"
"TitleMasteryTara","TID_TITLE_MASTERY_TARA","PlayerTitleGold"
"TitleMasteryDarryl","TID_TITLE_MASTERY_DARRYL","PlayerTitleGold"
"TitleMasteryPenny","TID_TITLE_MASTERY_PENNY","PlayerTitleGold"
"TitleMasteryFrank","TID_TITLE_MASTERY_FRANK","PlayerTitleGold"
"TitleMasteryGene","TID_TITLE_MASTERY_GENE","PlayerTitleGold"
"TitleMasteryTick","TID_TITLE_MASTERY_TICK","PlayerTitleGold"
"TitleMasteryLeon","TID_TITLE_MASTERY_LEON","PlayerTitleGold"
"TitleMasteryRosa","TID_TITLE_MASTERY_ROSA","PlayerTitleGold"
"TitleMasteryCarl","TID_TITLE_MASTERY_CARL","PlayerTitleGold"
"TitleMasteryBibi","TID_TITLE_MASTERY_BIBI","PlayerTitleGold"
"TitleMastery8bit","TID_TITLE_MASTERY_8BIT","PlayerTitleGold"
"TitleMasterySandy","TID_TITLE_MASTERY_SANDY","PlayerTitleGold"
"TitleMasteryBea","TID_TITLE_MASTERY_BEA","PlayerTitleGold"
"TitleMasteryEmz","TID_TITLE_MASTERY_EMZ","PlayerTitleGold"
"TitleMasteryMrp","TID_TITLE_MASTERY_MRP","PlayerTitleGold"
"TitleMasteryMax","TID_TITLE_MASTERY_MAX","PlayerTitleGold"
"TitleMasteryJacky","TID_TITLE_MASTERY_JACKY","PlayerTitleGold"
"TitleMasteryGale","TID_TITLE_MASTERY_GALE","PlayerTitleGold"
"TitleMasteryNani","TID_TITLE_MASTERY_NANI","PlayerTitleGold"
"TitleMasterySprout","TID_TITLE_MASTERY_SPROUT","PlayerTitleGold"
"TitleMasterySurge","TID_TITLE_MASTERY_SURGE","PlayerTitleGold"
"TitleMasteryColette","TID_TITLE_MASTERY_COLETTE","PlayerTitleGold"
"TitleMasteryAmber","TID_TITLE_MASTERY_AMBER","PlayerTitleGold"
"TitleMasteryLou","TID_TITLE_MASTERY_LOU","PlayerTitleGold"
"TitleMasteryByron","TID_TITLE_MASTERY_BYRON","PlayerTitleGold"
"TitleMasteryEdgar","TID_TITLE_MASTERY_EDGAR","PlayerTitleGold"
"TitleMasteryRuffs","TID_TITLE_MASTERY_RUFFS","PlayerTitleGold"
"TitleMasteryStu","TID_TITLE_MASTERY_STU","PlayerTitleGold"
"TitleMasteryBelle","TID_TITLE_MASTERY_BELLE","PlayerTitleGold"
"TitleMasterySqueak","TID_TITLE_MASTERY_SQUEAK","PlayerTitleGold"
"TitleMasteryGrom","TID_TITLE_MASTERY_GROM","PlayerTitleGold"
"TitleMasteryBuzz","TID_TITLE_MASTERY_BUZZ","PlayerTitleGold"
"TitleMasteryGriff","TID_TITLE_MASTERY_GRIFF","PlayerTitleGold"
"TitleMasteryAsh","TID_TITLE_MASTERY_ASH","PlayerTitleGold"
"TitleMasteryMeg","TID_TITLE_MASTERY_MEG","PlayerTitleGold"
"TitleMasteryLola","TID_TITLE_MASTERY_LOLA","PlayerTitleGold"
"TitleMasteryFang","TID_TITLE_MASTERY_FANG","PlayerTitleGold"
"TitleMasteryEve","TID_TITLE_MASTERY_EVE","PlayerTitleGold"
"TitleMasteryJanet","TID_TITLE_MASTERY_JANET","PlayerTitleGold"
"TitleMasteryBonnie","TID_TITLE_MASTERY_BONNIE","PlayerTitleGold"
"TitleMasteryOtis","TID_TITLE_MASTERY_OTIS","PlayerTitleGold"
"TitleMasterySam","TID_TITLE_MASTERY_SAM","PlayerTitleGold"
"TitleMasteryGus","TID_TITLE_MASTERY_GUS","PlayerTitleGold"
"TitleMasteryBuster","TID_TITLE_MASTERY_BUSTER","PlayerTitleGold"
"TitleMasteryChester","TID_TITLE_MASTERY_CHESTER","PlayerTitleGold"
