"Name","Logic","ChainStatusEffect","ChainStatusEffect2","StatusToApplyOnEnd","UseColorMod","RedAdd","GreenAdd","BlueAdd","FullScreenAdd","FullScreenMul","FullScreenEffectFile","FullScreenEffectName","StartEffect","LoopedEffect","LoopedEffectRemoveType","TriggerEffect","EndEffect"
"string","string","string","string","string","boolean","int","int","int","string","string","string","string","string","string","string","string","string"
"WhirlwindTrailFire","WhirlwindTrailFire",,,,"TRUE",150,150,0,,,,,,"poisoned_002","end",,
"WhirlwindUltiTrailFire","WhirlwindUltiTrailFire",,,,"TRUE",150,150,0,,,,,,"poisoned_002","end",,
"PetrolFire","PetrolFire",,,,"TRUE",150,150,0,,,,,,"poisoned_002","end",,
"PetrolFireIce","PetrolFire",,,,"TRUE",150,150,150,,,,,,"poisoned_008","end",,
"PetrolFireBubbles","PetrolFire",,,,"TRUE",150,150,150,,,,,,"poisoned_011","end",,
"PetrolFireDark","PetrolFire",,,,"TRUE",150,150,150,,,,,,"amber_005_ulti_status","end",,
"PetrolFireOvercharged","PetrolFireOvercharged",,,,"TRUE",150,150,150,,,,,,"poisoned_002","end",,
"RollerFire","RollerFire",,,,"TRUE",150,150,0,,,,,,"poisoned_002","end",,
"RollerFireIce","RollerFire",,,,"TRUE",150,150,150,,,,,,"poisoned_008","end",,
"PuppeteerPoison","PuppeteerPoison",,,,"TRUE",0,100,0,,,,,,"willow_def_atk_poison","end",,
"Puppeteer002Poison","PuppeteerPoison",,,,"TRUE",0,100,0,,,,,,"willow_def_atk_poison","end",,
"Puppeteer003Poison","PuppeteerPoison",,,,"TRUE",0,100,0,,,,,,"poisoned_002","end",,
"SharpenedAmmoBleed","SharpenedAmmoBleed",,,,"TRUE",150,0,0,,,,,,"status_blood","end",,
"CollabAssassinBleed","CollabAssassinBleed",,,,"TRUE",150,0,0,,,,,,"status_blood","end",,
"JesterUltiPoison","JesterUltiPoison",,,,"TRUE",0,100,0,,,,,,"poisoned_001","end",,
"FleaPetDot","FleaPetDot",,,,"TRUE",0,100,0,,,,,,"poisoned_006","end",,
"FleaPetHot","FleaPetHot",,,,,0,0,0,,,,,,"heal_over_time_3","end",,
"FleaExtraPetDot","FleaExtraPetDot",,,,"TRUE",0,100,0,,,,,,"poisoned_006","end",,
"SamuraiShield","SamuraiShield",,,,,0,0,0,,,,,,"buff_shield","remove",,
"SamuraiHide","SamuraiHide",,,,,0,0,0,,,,,,,,,
"SnakeOilDot","SnakeOilDot",,,,"TRUE",0,100,0,,,,,,"poisoned_001","end",,
"SnakeOilHot","SnakeOilHot",,,,,0,0,0,,,,,,"heal_over_time_3","end",,
"SnakeOilGadgetDot","SnakeOilGadgetDot",,,,"TRUE",0,100,0,,,,,,"poisoned_001","end",,
"SnakeOilGadgetHot","SnakeOilGadgetHot",,,,,0,0,0,,,,,,"heal_over_time_3","end",,
"CrowPoison","CrowPoison",,,,"TRUE",0,100,0,,,,,,"poisoned_001","end",,
"CrowPoisonFire","CrowPoison",,,,"TRUE",150,150,0,,,,,,"poisoned_002","end",,
"CrowPoisonShock","CrowPoison",,,,"TRUE",0,100,0,,,,,,"poisoned_005","end",,
"CrowPoisonSparkle","CrowPoison",,,,"TRUE",0,100,0,,,,,,"poisoned_012","end",,
"CrowPoisonStar","CrowPoison",,,,"TRUE",100,100,0,,,,,,,"end",,
"CrowPoisonVirus","CrowPoison",,,,"TRUE",100,100,0,,,,,,"poisoned_014","end",,
"CrowCrippleSP","CrowCrippleSP",,,,,,,,,,,,,"crippled","end",,
"LuchadorFire","LuchadorFire",,,,"TRUE",150,150,0,,,,,,"poisoned_002","end",,
"ShadowMushroomHot","ShadowMushroomHot",,,,"TRUE",0,100,0,,,,,,"snake_oil_poison_1","end",,
"ShadowMushroomDot","ShadowMushroomDot",,,,,0,0,0,,,,,,"heal_over_time_3","end",,
"AttacherUltiDot","AttacherUltiDot",,,,"TRUE",0,100,0,,,,,,"poisoned_001","end",,
"CookerGadgetDot","CookerGadgetDot",,,,"TRUE",150,150,0,,,,,,"poisoned_002","end",,
"CookerGadgetHot","CookerGadgetHot",,,,,0,0,0,,,,,,"heal_over_time_3","end",,
"GhostIncorporeal","GhostIncorporeal",,,,"TRUE",255,255,255,,,,,,,,,
"GhostShield","GhostShield",,,,,0,0,0,,,,,,"buff_shield","remove",,
"GhostDeadCenterReward","GhostDeadCenterReward",,,,,0,0,0,,,,,,"buff_speedUp","remove",,
"GhostSpooked","GhostSpooked",,,,,,,,,,,,,"slowed","remove",,
"MosquitoPoison","MosquitoPoison",,,,"TRUE",0,100,0,,,,,,"poisoned_001","end",,
"MosquitoPoisonShock","MosquitoPoison",,,,"TRUE",0,100,0,,,,,,"poisoned_005","end",,
"DemonicRitualCooldown","DemonicRitualCooldown",,,,,0,0,0,,,,,,,"end",,
"AngelicGraceCooldown","AngelicGraceCooldown",,,,,0,0,0,,,,,,,"end",,
"DemonicMomentum","DemonicMomentum","DemonicMomentum002","DemonicMomentumCooldown",,"TRUE",100,0,100,,,,,"DemonicMomentum_start","DemonicMomentum001","end",,
"SpeedOfAnAngel","SpeedOfAnAngel","SpeedOfAnAngel002",,,,,,,,,,,,"SpeedOfAnAngel001","end",,
"SpeedOfAnAngel002","SpeedOfAnAngel002","SpeedOfAnAngel003",,,,0,0,0,,,,,,"SpeedOfAnAngel002","end",,
"LastBreathCooldown","LastBreathCooldown",,,,,0,0,0,,,,,,,"end",,
"LastBreath","LastBreath","LastBreathCooldown",,,"TRUE",70,70,70,,,,,,"Last_Breath_Shield","end",,
"AngelicWrathCooldown","AngelicWrathCooldown",,,,,0,0,0,,,,,,,"end",,
"DemonicfireCooldown","DemonicfireCooldown",,,,,0,0,0,,,,,,,"end",,
"InvokDemonicPetAfterDying","InvokDemonicPetAfterDying","InvokeAngelicBigPetAfterDying",,,,0,0,0,,,,,,,"end",,
"InvokeAngelicBigPetAfterDying","InvokeAngelicBigPetAfterDying",,,,,0,0,0,,,,,,,"end",,
"VoodooGadgetSpeedUp","VoodooGadgetSpeedUp",,,,,0,0,0,,,,,,"buff_speedUp","end",,
"VoodooGadgetShield","VoodooGadgetShield",,,,,0,0,0,,,,,,"buff_shield","end",,
"SilencerUltiOvercharged","SilencerUltiOvercharged",,,,,,,,,,,,,"stunned","end",,
"BarrelbotShield","BarrelbotShield",,,,,,,,,,,,,"buff_shield","remove",,
"Barrelbot005Shield","BarrelbotShield",,,,,,,,,,,,,"darryl_005_ulti_loop_2","remove",,
"Barrelbot006Shield","BarrelbotShield",,,,,,,,,,,,,"darryl_006_ulti_shield","remove",,
"Barrelbot007Shield","BarrelbotShield",,,,,,,,,,,,,"darryl_007_ulti_shield","remove",,
"Barrelbot008Shield","BarrelbotShield",,,,,,,,,,,,,"darryl_008_ulti_shield","remove",,
"Barrelbot009Shield","BarrelbotShield",,,,,,,,,,,,,"darryl_009_ulti_shield","remove",,
"BarrelbotShieldOvercharged","BarrelbotShield",,,,,,,,,,,,,"darryl_def_oc_ulti_shield","remove",,
"BarrelbotAfterChargeShield","BarrelbotAfterChargeShield",,,,,,,,,,,,,"buff_shield","remove",,
"BarrelbotAfterShieldOvercharged","BarrelbotAfterChargeShield",,,,,,,,,,,,,"darryl_def_oc_ulti_shield2","remove",,
"Barrelbot005AfterChargeShield","BarrelbotAfterChargeShield",,,,,,,,,,,,,"buff_shield","remove",,
"Barrelbot006AfterChargeShield","BarrelbotAfterChargeShield",,,,,,,,,,,,,"buff_shield","remove",,
"Barrelbot007AfterChargeShield","BarrelbotAfterChargeShield",,,,,,,,,,,,,"buff_shield","remove",,
"Barrelbot008AfterChargeShield","BarrelbotAfterChargeShield",,,,,,,,,,,,,"buff_shield","remove",,
"Barrelbot009AfterChargeShield","BarrelbotAfterChargeShield",,,,,,,,,,,,,"buff_shield","remove",,
"DemonicMomentum002","DemonicMomentum002","DemonicMomentum003","DemonicMomentumCooldown",,"TRUE",100,0,100,,,,,"DemonicMomentum_start","DemonicMomentum002","end",,
"DemonicMomentum003","DemonicMomentum003","DemonicMomentum004","DemonicMomentumCooldown",,"TRUE",100,0,100,,,,,"DemonicMomentum_start","DemonicMomentum003","end",,
"DemonicMomentum004","DemonicMomentum004",,"DemonicMomentumCooldown",,"TRUE",100,0,100,,,,,"DemonicMomentum_start","DemonicMomentum004","end",,
"DemonicMomentumCooldown","DemonicMomentumCooldown",,,,,,,,,,,,,,,,
"DemonicRevengeCooldown","DemonicRevengeCooldown",,,,,,,,,,,,,,,,
"DemonicSoulCollectorCooldown","DemonicSoulCollectorCooldown",,,,,,,,,,,,,,,,
"SpeedOfAnAngel003","SpeedOfAnAngel003","SpeedOfAnAngel004",,,"TRUE",70,70,70,,,,,,"SpeedOfAnAngel003","end",,
"SpeedOfAnAngel004","SpeedOfAnAngel004","SpeedOfAnAngel005",,,,0,0,0,,,,,,"SpeedOfAnAngel004","end",,
"SpeedOfAnAngel005","SpeedOfAnAngel005",,,,,0,0,0,,,,,,"SpeedOfAnAngel005","end",,
"LightyearFire","LightyearFire",,,,"TRUE",100,20,0,,,,,,"poisoned_002","end",,
"SkaterUltiTaunt","SkaterUltiTaunt",,,,,,,,,,,,,"taunt_effect","end",,
"SkaterUltiHCTaunt","SkaterUltiHCTaunt",,,,,,,,,,,,,,,,
"SkaterUltiAmmoReductionSelf","SkaterUltiAmmoReductionSelf",,,,,,,,,,,,,,,,
"SkaterGadgetJumpTaunt","SkaterGadgetJumpTaunt",,,,,,,,,,,,,"taunt_effect","end",,
