"Name","Rarity","TypeName","Amount","ValueInCash","TicketsForBundle1","TicketsForBundle2","TicketsForBundle3","TicketsForBundle4","TicketsForBundle5","TicketsForBundle6"
"string","string","string","int","int","int","int","int","int","int","int"
"CoinsS",,"Coins",250,250,0,0,0,0,0,0
"CoinsM",,"Coins",500,500,0,0,0,0,0,0
"CoinsL",,"Coins",1000,1000,0,0,0,0,0,0
"CoinsXL",,"Coins",1500,1500,0,0,0,0,0,0
"CoinsXXL",,"Coins",50,100,0,0,0,0,0,0
"PowerPointsS",,"PowerPoints",250,500,0,0,0,0,0,0
"PowerPointsM",,"PowerPoints",400,800,0,0,0,0,0,0
"PowerPointsL",,"PowerPoints",750,1500,0,0,0,0,0,0
"BlingS",,"Bling",250,152,0,0,0,4,0,0
"BlingM",,"Bling",500,303,0,0,0,3,0,0
"BlingL",,"Bling",1000,606,0,12,5,3,0,0
"BlingXL",,"Bling",2000,1212,6,13,15,0,0,0
"BlingXXL",,"Bling",3000,1818,17,0,0,0,0,0
"StarrdropsS",,"Starrdrop",1,264,0,0,0,4,10,0
"StarrdropsM",,"Starrdrop",3,792,0,17,13,4,15,0
"StarrdropsL",,"Starrdrop",5,1320,5,18,12,4,15,0
"StarrdropsXL",,"Starrdrop",10,2640,26,0,0,4,25,0
"HCStarrdrop",,"HCStarrdrop",1,5000,18,10,0,0,10,0
"Icon",,"ProfilePic",1,580,1,100,6,10,0,0
"Spray",,"Spray",1,580,1,100,7,10,0,0
"Toy",,"Toy",1,400,100,100,100,100,100,10000
"Emote",,"Emote",1,580,1,100,7,10,0,0
"BrawlpassXPS",,"TokenDoubler",500,250,0,0,0,5,0,1
"BrawlpassXPM",,"TokenDoubler",2000,1000,0,5,10,0,0,0
"BrawlpassXPL",,"TokenDoubler",4000,2000,0,0,0,0,0,0
"CreditsS",,"Credits",100,364,0,0,0,5,0,0
"CreditsM",,"Credits",250,909,0,10,15,0,0,0
"CreditsL",,"Credits",500,1818,10,0,0,0,0,0
"LegendaryStarrdrop",,"LegendaryStarrdrop",1,3500,18,15,0,9,25,0
"Skin_29","RARE","Skin",1,580,0,0,10,25,0,0
"Skin_79","SUPER_RARE","Skin",1,1580,2,5,0,0,0,0
"Skin_149","EPIC","Skin",1,2980,2,4,0,0,0,0
"Skin_199","MYTHIC","Skin",1,3980,0,1,0,0,0,0
"Skin_299","LEGENDARY","Skin",1,7540,0,0,0,0,0,0
"Skin_499","HYPERCHARGE","Skin",1,9950,0,0,0,0,0,0
