"Name","Disabled","StarterPackLike","Variant","PanelAssetOverride","OfferCardAssetOverride","PopupAssetOverride","OverrideBg"
"String","boolean","boolean","String","String","String","String","String"
"Extended",,"TRUE","HERO_HIGHLIGHT","panel_starter_pack","offer_1_item_starter_pack","shop_1_starter_pack_popup_offer",
,,,"OVERCHARGE_HIGHLIGHT","panel_starter_pack","offer_1_item_starter_pack","shop_1_starter_pack_popup_offer",
,,,"OTHER",,,"shop_1_starter_pack_popup_offer_items_only",
"sb",,"TRUE","HERO_HIGHLIGHT","panel_starter_pack","offer_1_item_starter_pack","shop_1_starter_pack_popup_offer","offer_bgr_sb"
,,,"OVERCHARGE_HIGHLIGHT","panel_starter_pack","offer_1_item_starter_pack","shop_1_starter_pack_popup_offer",
,,,"OTHER",,,"shop_1_starter_pack_popup_offer_items_only",
"sb_discount",,"TRUE","HERO_HIGHLIGHT","panel_starter_pack","offer_1_item_starter_pack","shop_1_starter_pack_popup_offer","offer_bgr_sb_gold"
,,,"OVERCHARGE_HIGHLIGHT","panel_starter_pack","offer_1_item_starter_pack","shop_1_starter_pack_popup_offer",
,,,"OTHER",,,"shop_1_starter_pack_popup_offer_items_only",
"sb_free",,"TRUE","HERO_HIGHLIGHT","panel_starter_pack","offer_1_item_starter_pack","shop_1_starter_pack_popup_offer","offer_bgr_sb_free"
,,,"OVERCHARGE_HIGHLIGHT","panel_starter_pack","offer_1_item_starter_pack","shop_1_starter_pack_popup_offer",
,,,"OTHER",,,"shop_1_starter_pack_popup_offer_items_only",
"sb_epic",,"TRUE","HERO_HIGHLIGHT","panel_starter_pack","offer_1_item_starter_pack","shop_1_starter_pack_popup_offer","offer_bgr_sb_epic"
,,,"OVERCHARGE_HIGHLIGHT","panel_starter_pack","offer_1_item_starter_pack","shop_1_starter_pack_popup_offer",
,,,"OTHER",,,"shop_1_starter_pack_popup_offer_items_only",
