"Name","CumulativeWins","MainMilestone","Level","CumulativeRewardStarDrops","CumulativeRewardCoins","CumulativeRewardPowerPoints","CumulativeRewardBling"
"string","int","boolean","int","int","int","int","int"
"Win1",1,,1,2,200,40,20
"Win2",2,,1,4,200,40,20
"Win3",3,,1,6,200,40,20
"Win4",4,,1,8,200,40,20
"Win5",5,,1,10,200,40,20
"Win6",6,,1,12,200,40,20
"Win7",7,,1,14,200,40,20
"Win8",8,,1,16,200,40,20
"Win9",9,,1,18,220,40,20
"Win10",10,,1,20,240,40,20
"Win11",11,,1,22,260,60,20
"Win12",12,,1,24,280,80,20
"Win13",13,,1,26,300,100,30
"Win14",14,,1,28,320,120,40
"Win15",15,,1,30,340,140,50
"Win16",16,,1,32,360,160,60
"Win17",17,,1,34,380,180,70
"Win18",18,,1,36,400,200,80
"Win19",19,,1,38,1760,500,160
"Win20",20,,1,40,1822,527,173
"Win21",21,,1,42,1885,553,187
"Win22",22,,1,44,1948,581,201
"Win23",23,,1,46,2012,608,215
"Win24",24,,1,48,2077,635,229
"Win25",25,,1,50,2142,663,243
"Win26",26,,1,52,2208,691,257
"Win27",27,,1,54,2274,720,271
"Win28",28,,1,56,2341,748,286
"Win29",29,,1,58,2408,777,300
"Win30",30,,1,60,2477,806,315
"Win31",31,,1,62,2545,836,330
"Win32",32,,1,64,2615,866,345
"Win33",33,,1,66,2685,896,360
"Win34",34,,1,68,2756,926,376
"Win35",35,,1,70,2827,956,391
"Win36",36,,1,72,2899,987,407
"Win37",37,,1,74,2972,1018,422
"Win38",38,,1,76,3045,1050,438
"Win39",39,,1,78,3119,1081,454
"Win40",40,"TRUE",2,100,3194,1113,471
"Win41",41,,2,102,3269,1145,487
"Win42",42,,2,104,3345,1178,503
"Win43",43,,2,106,3422,1211,520
"Win44",44,,2,108,3500,1244,537
"Win45",45,,2,110,3578,1277,554
"Win46",46,,2,112,3657,1311,571
"Win47",47,,2,114,3736,1345,588
"Win48",48,,2,116,3817,1380,605
"Win49",49,,2,118,3898,1414,623
"Win50",50,,2,120,3980,1449,641
"Win51",51,,2,122,4062,1485,659
"Win52",52,,2,124,4146,1520,677
"Win53",53,,2,126,4230,1556,695
"Win54",54,,2,128,4315,1593,713
"Win55",55,,2,130,4401,1629,732
"Win56",56,,2,132,4487,1666,751
"Win57",57,,2,134,4574,1704,770
"Win58",58,,2,136,4663,1741,789
"Win59",59,,2,138,4751,1779,808
"Win60",60,,2,140,4841,1818,827
"Win61",61,,2,142,4932,1857,847
"Win62",62,,2,144,5023,1896,867
"Win63",63,,2,146,5115,1935,887
"Win64",64,,2,148,5208,1975,907
"Win65",65,,2,150,5302,2015,927
"Win66",66,,2,152,5397,2056,948
"Win67",67,,2,154,5493,2097,969
"Win68",68,,2,156,5589,2138,989
"Win69",69,,2,158,5687,2179,1011
"Win70",70,,2,160,5785,2222,1032
"Win71",71,,2,162,5885,2264,1053
"Win72",72,,2,164,5985,2307,1075
"Win73",73,,2,166,6086,2350,1097
"Win74",74,,2,168,6188,2394,1119
"Win75",75,,2,170,6291,2438,1141
"Win76",76,,2,172,6395,2482,1164
"Win77",77,,2,174,6500,2527,1187
"Win78",78,,2,176,6605,2572,1210
"Win79",79,,2,178,6712,2618,1233
"Win80",80,"TRUE",3,200,6820,2664,1256
"Win81",81,,3,202,6929,2711,1280
"Win82",82,,3,204,7038,2758,1303
"Win83",83,,3,206,7149,2805,1327
"Win84",84,,3,208,7261,2853,1352
"Win85",85,,3,210,7374,2901,1376
"Win86",86,,3,212,7488,2950,1401
"Win87",87,,3,214,7603,2999,1426
"Win88",88,,3,216,7719,3048,1451
"Win89",89,,3,218,7836,3099,1476
"Win90",90,,3,220,7954,3149,1502
"Win91",91,,3,222,8073,3200,1527
"Win92",92,,3,224,8193,3251,1553
"Win93",93,,3,226,8315,3303,1580
"Win94",94,,3,228,8437,3356,1606
"Win95",95,,3,230,8561,3409,1633
"Win96",96,,3,232,8686,3462,1660
"Win97",97,,3,234,8812,3516,1687
"Win98",98,,3,236,8939,3570,1715
"Win99",99,,3,238,9067,3625,1743
"Win100",100,,3,240,9197,3681,1771
"Win101",101,,3,242,9327,3736,1799
"Win102",102,,3,244,9459,3793,1828
"Win103",103,,3,246,9592,3850,1856
"Win104",104,,3,248,9727,3907,1886
"Win105",105,,3,250,9862,3965,1915
"Win106",106,,3,252,9999,4024,1945
"Win107",107,,3,254,10137,4083,1974
"Win108",108,,3,256,10276,4142,2005
"Win109",109,,3,258,10417,4202,2035
"Win110",110,,3,260,10559,4263,2066
"Win111",111,,3,262,10702,4324,2097
"Win112",112,,3,264,10846,4386,2128
"Win113",113,,3,266,10992,4449,2160
"Win114",114,,3,268,11139,4511,2192
"Win115",115,,3,270,11288,4575,2224
"Win116",116,,3,272,11438,4639,2256
"Win117",117,,3,274,11589,4704,2289
"Win118",118,,3,276,11742,4769,2322
"Win119",119,,3,278,11896,4835,2355
"Win120",120,"TRUE",4,400,12051,4902,2389
"Win121",121,,4,402,12208,4969,2423
"Win122",122,,4,404,12367,5036,2457
"Win123",123,,4,406,12527,5105,2492
"Win124",124,,4,408,12688,5174,2527
"Win125",125,,4,410,12851,5243,2562
"Win126",126,,4,412,13015,5314,2598
"Win127",127,,4,414,13181,5385,2634
"Win128",128,,4,416,13348,5456,2670
"Win129",129,,4,418,13517,5528,2707
"Win130",130,,4,420,13687,5601,2743
"Win131",131,,4,422,13859,5675,2781
"Win132",132,,4,424,14033,5749,2818
"Win133",133,,4,426,14208,5824,2856
"Win134",134,,4,428,14385,5900,2895
"Win135",135,,4,430,14563,5976,2933
"Win136",136,,4,432,14743,6053,2972
"Win137",137,,4,434,14925,6131,3012
"Win138",138,,4,436,15108,6209,3051
"Win139",139,,4,438,15294,6288,3091
"Win140",140,,4,440,15480,6368,3132
"Win141",141,,4,442,15669,6449,3173
"Win142",142,,4,444,15859,6530,3214
"Win143",143,,4,446,16051,6612,3255
"Win144",144,,4,448,16245,6695,3297
"Win145",145,,4,450,16440,6779,3340
"Win146",146,,4,452,16638,6863,3383
"Win147",147,,4,454,16837,6948,3426
"Win148",148,,4,456,17038,7034,3469
"Win149",149,,4,458,17241,7121,3513
"Win150",150,,4,460,17445,7208,3557
"Win151",151,,4,462,17652,7297,3602
"Win152",152,,4,464,17860,7386,3647
"Win153",153,,4,466,18071,7476,3693
"Win154",154,,4,468,18283,7567,3739
"Win155",155,,4,470,18497,7658,3785
"Win156",156,,4,472,18714,7751,3832
"Win157",157,,4,474,18932,7844,3879
"Win158",158,,4,476,19152,7938,3927
"Win159",159,,4,478,19375,8034,3975
"Win160",160,"TRUE",5,600,19599,8129,4024
"Win161",161,,5,602,19825,8226,4073
"Win162",162,,5,604,20054,8324,4122
"Win163",163,,5,606,20284,8423,4172
"Win164",164,,5,608,20517,8522,4223
"Win165",165,,5,610,20752,8623,4274
"Win166",166,,5,612,20989,8724,4325
"Win167",167,,5,614,21228,8826,4377
"Win168",168,,5,616,21470,8930,4429
"Win169",169,,5,618,21713,9034,4482
"Win170",170,,5,620,21959,9139,4535
"Win171",171,,5,622,22207,9245,4589
"Win172",172,,5,624,22458,9352,4643
"Win173",173,,5,626,22710,9460,4698
"Win174",174,,5,628,22965,9569,4753
"Win175",175,,5,630,23223,9679,4809
"Win176",176,,5,632,23483,9790,4865
"Win177",177,,5,634,23745,9903,4922
"Win178",178,,5,636,24009,10016,4979
"Win179",179,,5,638,24276,10130,5037
"Win180",180,,5,640,24546,10245,5095
"Win181",181,,5,642,24818,10361,5154
"Win182",182,,5,644,25092,10479,5214
"Win183",183,,5,646,25369,10597,5274
"Win184",184,,5,648,25649,10717,5334
"Win185",185,,5,650,25931,10838,5395
"Win186",186,,5,652,26215,10959,5457
"Win187",187,,5,654,26503,11082,5519
"Win188",188,,5,656,26793,11206,5582
"Win189",189,,5,658,27085,11331,5646
"Win190",190,,5,660,27381,11458,5709
"Win191",191,,5,662,27679,11585,5774
"Win192",192,,5,664,27979,11714,5839
"Win193",193,,5,666,28283,11844,5905
"Win194",194,,5,668,28589,11975,5971
"Win195",195,,5,670,28899,12107,6038
"Win196",196,,5,672,29211,12240,6106
"Win197",197,,5,674,29525,12375,6174
"Win198",198,,5,676,29843,12511,6243
"Win199",199,,5,678,30164,12648,6312
"Win200",200,"TRUE",6,1200,30488,12786,6382
