"Name","Rarity","ExtraHerosAvailableTo","LogicType","ModifierValue","ModifierType","OldTokenResource","IconSWF","IconExportName","TID","InfoTID","UpgradeInfoTID","UpgradeTargetTID"
"string","string","string","int","int","string","string","string","string","string","string","string","string"
"ForestSpeed","RareGear",,0,20,"percent","GearTokensSpeed","sc/ui.sc","icon_gear_speed","TID_GEAR_FOREST_SPEED_TITLE","TID_GEAR_FOREST_SPEED_INFO","TID_GEAR_FOREST_SPEED_UPGRADE_INFO","TID_GEAR_FOREST_SPEED_UPGRADE_TARGET"
"HealthRegen","RareGear",,1,50,"value","GearTokensHeal","sc/ui.sc","icon_gear_heal","TID_GEAR_STANDING_HEAL_TITLE","TID_GEAR_STANDING_HEAL_INFO","TID_GEAR_STANDING_HEAL_UPGRADE_INFO","TID_GEAR_STANDING_HEAL_UPGRADE_TARGET"
"LowHealthDamage","RareGear",,2,15,"percent","GearTokensDamage","sc/ui.sc","icon_gear_damage","TID_GEAR_LOW_HEALTH_DAMAGE_TITLE","TID_GEAR_LOW_HEALTH_DAMAGE_INFO","TID_GEAR_LOW_HEALTH_DAMAGE_UPGRADE_INFO","TID_GEAR_LOW_HEALTH_DAMAGE_UPGRADE_TARGET"
"Vision","RareGear",,3,40,"ticks","GearTokensResistance","sc/ui.sc","icon_gear_vision","TID_GEAR_VISION_TITLE","TID_GEAR_VISION_INFO","TID_GEAR_VISION_UPGRADE_INFO","TID_GEAR_VISION_UPGRADE_TARGET"
"ConsumableShield","RareGear",,4,600,"value","GearTokensShield","sc/ui.sc","icon_gear_shield","TID_GEAR_SHIELD_TITLE","TID_GEAR_SHIELD_INFO","TID_GEAR_SHIELD_UPGRADE_INFO","TID_GEAR_SHIELD_UPGRADE_TARGET"
"ReloadSpeed","SuperRareGear","ElectroSniper",5,15,"percent",,"sc/ui.sc","icon_gear_reload","TID_GEAR_RELOAD_SPEED_TITLE","TID_GEAR_RELOAD_SPEED_INFO","TID_GEAR_RELOAD_SPEED_UPGRADE_INFO","TID_GEAR_RELOAD_SPEED_UPGRADE_TARGET"
,,"Flea",,,,,,,,,,
,,"Duplicator",,,,,,,,,,
,,"BowDude",,,,,,,,,,
,,"RocketGirl",,,,,,,,,,
,,"Gunslinger",,,,,,,,,,
,,"Arcade",,,,,,,,,,
,,"AssaultShotgun",,,,,,,,,,
,,"FireDude",,,,,,,,,,
,,"TrickshotDude",,,,,,,,,,
"SuperChargeRate","SuperRareGear","Knight",6,10,"percent",,"sc/ui.sc","icon_gear_super","TID_GEAR_SUPER_CHARGE_TITLE","TID_GEAR_SUPER_CHARGE_INFO","TID_GEAR_SUPER_CHARGE_UPGRADE_INFO","TID_GEAR_SUPER_CHARGE_UPGRADE_TARGET"
,,"IceDude",,,,,,,,,,
,,"Silencer",,,,,,,,,,
,,"BullDude",,,,,,,,,,
,,"Controller",,,,,,,,,,
,,"CannonGirl",,,,,,,,,,
,,"Enrager",,,,,,,,,,
,,"Wally",,,,,,,,,,
,,"Luchador",,,,,,,,,,
,,"Driller",,,,,,,,,,
"SuperHealth","EpicGear","ClusterBombDude",7,1000,"value",,"sc/ui.sc","icon_gear_tick","TID_GEAR_SUPER_HEALTH_TITLE","TID_GEAR_SUPER_HEALTH_INFO","TID_GEAR_SUPER_HEALTH_UPGRADE_INFO","TID_GEAR_SUPER_HEALTH_UPGRADE_TARGET"
"SuperRange","EpicGear","HookDude",8,3,"value",,"sc/ui.sc","icon_gear_gene","TID_GEAR_SUPER_RANGE_TITLE","TID_GEAR_SUPER_RANGE_INFO","TID_GEAR_SUPER_RANGE_UPGRADE_INFO","TID_GEAR_SUPER_RANGE_UPGRADE_TARGET"
"PoisonDamage","EpicGear","Crow",9,30,"percent",,"sc/ui.sc","icon_gear_crow","TID_GEAR_POISON_DURATION_TITLE","TID_GEAR_POISON_DURATION_INFO","TID_GEAR_POISON_DURATION_UPGRADE_INFO","TID_GEAR_POISON_DURATION_UPGRADE_TARGET"
"SlowIncrease","EpicGear","Cactus",10,50,"percent",,"sc/ui.sc","icon_gear_spike","TID_GEAR_SLOW_INCREASE_TITLE","TID_GEAR_SLOW_INCREASE_INFO","TID_GEAR_SLOW_INCREASE_UPGRADE_INFO","TID_GEAR_SLOW_INCREASE_UPGRADE_TARGET"
"SmokeDuration","EpicGear","Ninja",11,1,"value",,"sc/ui.sc","icon_gear_leon","TID_GEAR_SMOKE_DURATION_TITLE","TID_GEAR_SMOKE_DURATION_INFO","TID_GEAR_SMOKE_DURATION_UPGRADE_INFO","TID_GEAR_SMOKE_DURATION_UPGRADE_TARGET"
"SuperShield","EpicGear","Sandstorm",12,10,"percent",,"sc/ui.sc","icon_gear_sandy","TID_GEAR_SUPER_SHIELD_TITLE","TID_GEAR_SUPER_SHIELD_INFO","TID_GEAR_SUPER_SHIELD_UPGRADE_INFO","TID_GEAR_SUPER_SHIELD_UPGRADE_TARGET"
