"TID","AR"
"string","string"
"TID_CHOOSE_CHARACTER","جنگجو رو انتخاب کن"
"TID_ARMOR","سلامت"
"TID_ARMOR_DESC","سلامت نشون می‌ده که\nجنگجو قبل از مردن می‌تونه چقدر آسیب تحمل کنه."
"TID_SHOTGUN_GIRL","شلی"
"TID_SHOTGUN_GIRL_DESC","شات‌گان شلی عاشق دویدن و هفت‌تیرکشیه! اسلحه وفادارش مانع از این می‌شه که کسی بهش نزدیک بشه."
"TID_LONG_RANGE_SHOTGUN","باک‌شات"
"TID_LONG_RANGE_SHOTGUN_DESC","اسلحه شلی همیشه پر و آماده شلیکه. هوس نزدیک شدن بهش هم به سرت نزنه."
"TID_MEGA_BLASH_ULTI","سوپر لاک"
"TID_MEGA_BLASH_ULTI_DESC","سوپر لاک شلی هم پوشش و هم دشمنها رو از بین می‌بره. هر کی باقی بمونه از سر راه بیرون پرت می‌شه."
"TID_GUNSLINGER","کولت"
"TID_GUNSLINGER_DESC","کلانتر تمام وقت شهر و مانکن مدل موی پاره وقت. با شلیک‌های دوربرد دقیق و خنده مکش مرگ ما، نظم رو برقرار می‌کنه."
"TID_RAPID_FIRE","شیش‌لول بند"
"TID_RAPID_FIRE_DESC","کولت میذاره شیش‌لول‌های دوربردش به جاش حرف بزنن. هیچ وقتم کم نمیاره."
"TID_RAPID_FIRE_ULTI","فشنگ قطاری"
"TID_RAPID_FIRE_ULTI_DESC","یه چرخی به لول‌های شیش‌لول میده و کلی فشنگ حواله دشمن‌ها می‌کنه. فشنگ‌هایی که از همه چی رد می‌شن و داغون می‌کنن."
"TID_BULL_DUDE","بوفالو"
"TID_BULL_DUDE_DESC","بوفالو بلانکو مثل یک عروسک بوفالو می‌مونه. یک بوفالو که یک تفنگ شکاری دولول داره."
"TID_SHOTGUN_BLAST","دولول شکاری"
