"Name","Season","HeroArea1","HeroArea2","HeroArea3","FrameName","Skin","SkinChroma","Pin","Icon","Spray","AnimCover","AnimSkin","AnimChromas","Jingle","Multiplier","PlusMultiplier"
"string","int","String","String","String","String","String","String","String","String","String","String","String","String","String","int","int"
"season8",7,"ShotgunGirlPrincess","KnightDefault","KnightNinja",8,,,,,,,,,,,
"season9",8,"BullDudeTerminator","DuplicatorDefault","DuplicatorChola",9,,,,,,,,,,,
"season10",9,"RosaBP","KickerDudeDefault","KickerDudeFurious",10,,,,,,,,,,,
"season11",10,"TrickshotDudeFirefly","FleaDefault","FleaSpaceCactus",11,,,,,,,,,,,
"season12",11,"WhirlwindBiker","JetpackGirlDefault","JetpackGirlValkyrie",12,,,,,,,,,,,
"season13",12,"GunslingerPaintball","SilencerDefault","SilencerPharaoh",13,,,,,,,,,,,
"season14",13,"DeadMariachiOutlaw","WeaponThrowerDefault","WeaponThrowerEmperor",14,,,,,,,,,,,
"season15",14,"ArtilleryDudeZombie","ShieldTankDefault","ShieldTankChainsaw",15,,,,,,,,,,,
"season16",15,"ShamanGummybear","BeamerDefault","BeamerLavaQueen",16,,,,,,,,,,,
"season17",16,"LuchadorButler","SplitterDefault","SplitterCultist",17,,,,,,,,,,,
"season18",17,,"MaisieDefault","MaisieSnake",18,,,,,,,,,,,
"season19",18,,"DuelistDefault","DuelistBrain",19,,,,,,,,,,,
"season20",19,,"CookerDefault","CookerDeepsea",20,,,,,,,,,,,
"season21",20,,"CocoonerDefault","CocoonerRosie",21,"CocoonerRosie",,"emoji_cotton_candy","player_icon_bp_circus","spray_sad_clown",,,,,13,
"season22",21,"Percenteranime","PercenteranimeChromaYellow","PercenteranimeChromaGreen",22,"Percenteranime","PercenteranimeChromaYellow","emoji_skulltoon","player_icon_bp_cartoon","spray_cartoon_cloud","SIGNATURE","HAPPY","HAPPY","sfx/brawly_toonz_loading_01.ogg",18,20
"season23",22,"AttacherBoxer","AttacherBoxerChromaDarkpaw","AttacherBoxerChromaGoldpaw",23,"AttacherBoxer","AttacherBoxerChromaDarkpaw","emoji_dragon","player_icon_bp_dragon","spray_lny_dragon","SIGNATURE","HAPPY","HAPPY","sfx/brawl_fighting_load_01.ogg",18,20
"season24",23,"ShotgunGirlDancer","ShotgunGirlDancerBlue","ShotgunGirlDancerPurple",24,"ShotgunGirlDancer","ShotgunGirlDancerBlue","emoji_sandclock","player_icon_bp_sandsoftime","spray_sandsoftime","SIGNATURE","HAPPY","HAPPY",,18,20
"season25",24,"RopeDudeFenrir","RopeDudeFenrirRed","RopeDudeFenrirBlack",25,"RopeDudeFenrir","RopeDudeFenrirRed","emoji_skull_ragnarock","player_icon_bp_ragnarok","spray_ragnarok","SIGNATURE","HAPPY","HAPPY",,18,20
"season26",25,"ClusterBombDudeGodzilla","ClusterBombDudeGodzillaGold","ClusterBombDudeGodzillaDark",26,"ClusterBombDudeGodzilla","ClusterBombDudeGodzillaGold","emoji_godzilla_egg","player_icon_bp_godzilla","spray_bp_godzilla","SIGNATURE","HAPPY","HAPPY",,18,20
"season27",26,"RocketGirlVirus","RocketGirlVirusRGB","RocketGirlVirusGold",27,"RocketGirlVirus","RocketGirlVirusGold","emoji_hacker","player_icon_bp_hackers","spray_bp_hackers","SIGNATURE","HAPPY","HAPPY",,18,20
"season28",27,"MummyGreek","MummyGreekRed","MummyGreekBlue",28,"MummyGreek","MummyGreekRed","emoji_bp_greek","player_icon_bp_olympic","spray_bp_olympic","SIGNATURE","HAPPY","HAPPY","sfx/brawlympus_loading_01.ogg",18,20
"season29",28,"SandstormDeepsea","SandstormDeepseaPurple","SandstormDeepseaYellow",29,"SandstormDeepsea","SandstormDeepseaPurple","emoji_bp_deep","player_icon_bp_deepsea","spray_bp_deepsea","SIGNATURE","HAPPY","HAPPY","sfx/brawl_underwater_load_01.ogg",18,20
