"Name","FileName","ExportName"
"String","String","String"
"BullGuyIdle","ui.sc","hero_portrait"
"BullGuyWalk","ui.sc","hero_portrait"
"BullGuyHappy","ui.sc","hero_portrait"
"BullGuySad","ui.sc","hero_portrait"
"BullGuySignature","ui.sc","hero_portrait"
"BullGuyUiPose","ui.sc","hero_portrait"
"ShellyFace","characters.sc","shelly_face"
"ShellyBanditFace","characters.sc","shelly_bandit_face"
"JunkerFace","characters.sc","jessie_face"
"JunkerDreamyFace","characters.sc","jessie_dreamy_face"
"ColtFace","characters.sc","colt_face"
"BullFace","characters.sc","bull_face"
"PamFace","characters.sc","pam_face"
"CrowFace","characters.sc","crow_face"
"TaraFace","characters.sc","tara_face"
