"TID","EN"
"string","string"
"TID_BATTLE_END_QUESTS_COMPLETED","Quests Completed: <NUM>"
"TID_BATTLE_END_QUESTS_PROGRESSED","Quests Progressed: <NUM>"
"TID_TICKET_COMPENSATION_TITLE","UPDATE NOTIFICATION"
"TID_TICKET_COMPENSATION_INFO","Here, have some Gems for your Tickets! We've removed Tickets from the game, so there's no use for them anymore."
"TID_TICKET_COMPENSATION_CLAIM","CLAIM!"
"TID_BRAWL_PASS_OLD_BOXES_TITLE","OPEN REMAINING BOXES"
"TID_BRAWL_PASS_QUESTS_LABEL","QUESTS"
"TID_BRAWL_PASS_QUESTS_INFO_LOCKED","Reach <TROPHIES> Trophies to unlock Quests!"
"TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED","Quests can now be unlocked from Trophy Road!"
"TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER","Go to Trophy Road to unlock Quests"
"TID_BRAWL_PASS_QUESTS_CLAIM_NEXT","Claim Quests from the Trophy Road!"
"TID_BRAWL_PASS_QUESTS_CLAIM_TR_REWARDS","Claim Trophy Road rewards to unlock Quests!"
"TID_BRAWL_PASS_BUY_PROGRESS_LABEL","BUY A TIER"
"TID_QUESTS_TITLE","QUESTS"
"TID_QUEST_DESC_1","WIN <AMOUNT> BATTLES"
"TID_QUEST_DESC_2","DEFEAT <AMOUNT> ENEMIES"
"TID_QUEST_DESC_3","DEAL <AMOUNT> POINTS OF DAMAGE"
"TID_QUEST_DESC_4","HEAL <AMOUNT> POINTS OF HEALTH"
"TID_QUEST_DESC_5","USE \qPLAY AGAIN\q <NUM> TIMES"
"TID_QUEST_DESC_6","PLAY <NUM> MATCHES IN A TEAM"
"TID_QUEST_DESC_7_MODE_0","CARRY <LIMIT> OR MORE GEMS FOR <AMOUNT> SECONDS"
"TID_QUEST_DESC_7_MODE_2","DEAL <AMOUNT> POINTS OF DAMAGE TO SAFE"
"TID_QUEST_DESC_7_MODE_3","FINISH <AMOUNT> MATCHES WITH <LIMIT> OR MORE STARS"
"TID_QUEST_DESC_7_MODE_5","PASS THE BALL <AMOUNT> TIMES"
"TID_QUEST_DESC_7_MODE_6","COLLECT <AMOUNT> POWER CUBES"
"TID_QUEST_DESC_7_MODE_9","COLLECT <AMOUNT> POWER CUBES WHILE BOTH PLAYERS ARE ACTIVE"
"TID_QUEST_DESC_7_MODE_17","CAPTURE ZONES FOR <AMOUNT> SECONDS"
"TID_QUEST_DESC_7_MODE_20","STAY UNDEFEATED FOR <AMOUNT> ROUNDS"
"TID_QUEST_DESC_7_MODE_34","ESCAPE WITH <AMOUNT> TROPHIES"
"TID_QUEST_DESC_10","PLAY <NUM> MATCHES WITH A CLUBMATE"
"TID_QUEST_DESC_11","PLAY <AMOUNT> BATTLES"
"TID_QUEST_DESC_1_LEVELED","COMPLETE LEVEL"
"TID_QUEST_DESC_1_BIG_GAME","WIN <AMOUNT> BATTLES"
"TID_QUEST_DESC_1_BIG_GAME_SINGLE","WIN <AMOUNT> BATTLE"
"TID_QUEST_HERO_CONDITION","\nWITH <HERO>"
"TID_QUEST_HERO_CONDITION_2","\nWITH <HERO_1> OR <HERO_2>"
"TID_QUEST_HERO_CONDITION_3","\nWITH <HERO_1>, <HERO_2> OR <HERO_3>"
"TID_QUEST_MODE_CONDITION","\nIN <MODE>"
"TID_QUEST_MODE_CONDITION_2","\nIN <MODE_1> OR <MODE_2>"
"TID_QUEST_PLAYAGAIN_CONDITION","\nWITH A TEAMMATE"
"TID_QUEST_NEW","NEW"
"TID_QUEST_PREMIUM","BRAWL PASS EXCLUSIVE"
"TID_RANK_POPUP_QUESTS","QUESTS"
"TID_RANK_POPUP_CLUB_FEATURE","CLUBS"
"TID_BRAWL_PASS_POPUP_TITLE","BRAWL PASS"
"TID_BRAWL_PASS_POPUP_INFO","SEASON <SEASON>"
"TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON","BACK TO CURRENT SEASON"
"TID_BRAWL_PASS_PREVIOUS_SEASON","PREVIOUS SEASON"
"TID_BRAWL_PASS_PREVIOUS_SEASON_INFO","TAP HERE TO CLAIM REWARDS!"
"TID_BRAWL_PASS_UNLOCK_INFO","PREMIUM REWARDS LOCKED!"
"TID_BRAWL_PASS_UNLOCK_LABEL","UNLOCK"
"TID_BRAWLPASS_PURCHASE_ERROR_3","This Brawl Pass season has already been purchased."
"TID_BRAWLPASS_PURCHASE_ERROR_4","Sorry, this Brawl Pass is no longer available!"
"TID_BRAWLPASS_PURCHASE_ERROR_5","Cannot purchase BRAWL PASS BUNDLE, you have already earned all the rewards!"
"TID_BRAWLPASS_PURCHASE_ERROR_6","Purchase for Brawl Pass is already in progress"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE","ADVANCE TIER?"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO","Buy <NUM> Brawl Pass XP and advance to the next Reward Tier?"
"TID_PURCHASE_BRAWL_PASS_TITLE","GET BRAWL PASS!"
